balanced 0 test_flag 0
[Run 148] Ep10000: 1876 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 149] Ep10000: 2344 steps (0.0007 hrs) 19 sec, Max 270718 steps
[Run 150] Ep10000: 16381 steps (0.0046 hrs) 65 sec, Max 270718 steps
[Run 151] Ep10000: 2584 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 152] Ep10000: 2524 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 153] Ep10000: 2071 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 154] Ep10000: 1746 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 155] Ep10000: 1598 steps (0.0004 hrs) 13 sec, Max 270718 steps
[Run 156] Ep10000: 4872 steps (0.0014 hrs) 23 sec, Max 270718 steps
[Run 157] Ep10000: 1677 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 158] Ep10000: 2418 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 159] Ep10000: 1792 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 160] Ep10000: 4400 steps (0.0012 hrs) 27 sec, Max 270718 steps
[Run 161] Ep10000: 1901 steps (0.0005 hrs) 16 sec, Max 270718 steps
[Run 162] Ep10000: 2227 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 163] Ep10000: 1291 steps (0.0004 hrs) 11 sec, Max 270718 steps
[Run 164] Ep10000: 2132 steps (0.0006 hrs) 16 sec, Max 270718 steps
[Run 165] Ep10000: 2906 steps (0.0008 hrs) 15 sec, Max 270718 steps
[Run 166] Ep10000: 2151 steps (0.0006 hrs) 19 sec, Max 270718 steps
[Run 167] Ep10000: 2475 steps (0.0007 hrs) 15 sec, Max 270718 steps
[Run 168] Ep10000: 4787 steps (0.0013 hrs) 20 sec, Max 270718 steps
[Run 169] Ep10000: 1762 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 170] Ep10000: 1940 steps (0.0005 hrs) 22 sec, Max 270718 steps
[Run 171] Ep10000: 1947 steps (0.0005 hrs) 19 sec, Max 270718 steps
[Run 172] Ep10000: 2199 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 173] Ep10000: 2004 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 174] Ep10000: 2138 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 175] Ep10000: 2437 steps (0.0007 hrs) 17 sec, Max 270718 steps
[Run 176] Ep10000: 2030 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 177] Ep10000: 2392 steps (0.0007 hrs) 19 sec, Max 270718 steps
