balanced 0 test_flag 0
[175] Ep10000: 2217 steps (0.0006 hrs) 18 sec, Max 29919 steps
[176] Ep10000: 2063 steps (0.0006 hrs) 22 sec, Max 29919 steps
[177] Ep10000: 2229 steps (0.0006 hrs) 24 sec, Max 29919 steps
[178] Ep10000: 1904 steps (0.0005 hrs) 20 sec, Max 29919 steps
[179] Ep10000: 2491 steps (0.0007 hrs) 23 sec, Max 29919 steps
[180] Ep10000: 1542 steps (0.0004 hrs) 9 sec, Max 29919 steps
[181] Ep10000: 1986 steps (0.0006 hrs) 25 sec, Max 29919 steps
[182] Ep10000: 1903 steps (0.0005 hrs) 12 sec, Max 29919 steps
[183] Ep10000: 1837 steps (0.0005 hrs) 12 sec, Max 29919 steps
[184] Ep10000: 2609 steps (0.0007 hrs) 20 sec, Max 29919 steps
[185] Ep10000: 2111 steps (0.0006 hrs) 19 sec, Max 29919 steps
[186] Ep10000: 1713 steps (0.0005 hrs) 13 sec, Max 29919 steps
[187] Ep10000: 1709 steps (0.0005 hrs) 10 sec, Max 29919 steps
[188] Ep10000: 2264 steps (0.0006 hrs) 16 sec, Max 29919 steps
[189] Ep10000: 2292 steps (0.0006 hrs) 13 sec, Max 29919 steps
[190] Ep10000: 1808 steps (0.0005 hrs) 12 sec, Max 29919 steps
[191] Ep10000: 2291 steps (0.0006 hrs) 13 sec, Max 29919 steps
[192] Ep10000: 2047 steps (0.0006 hrs) 21 sec, Max 29919 steps
[193] Ep10000: 2695 steps (0.0007 hrs) 24 sec, Max 29919 steps
[194] Ep10000: 1745 steps (0.0005 hrs) 11 sec, Max 29919 steps
[195] Ep10000: 1966 steps (0.0005 hrs) 24 sec, Max 29919 steps
[196] Ep10000: 3245 steps (0.0009 hrs) 24 sec, Max 29919 steps
[197] Ep10000: 1896 steps (0.0005 hrs) 12 sec, Max 29919 steps
[198] Ep10000: 1743 steps (0.0005 hrs) 16 sec, Max 29919 steps
[199] Ep10000: 1917 steps (0.0005 hrs) 25 sec, Max 29919 steps
[200] Ep10000: 1706 steps (0.0005 hrs) 18 sec, Max 29919 steps
[201] Ep10000: 2111 steps (0.0006 hrs) 18 sec, Max 29919 steps
[202] Ep10000: 2707 steps (0.0008 hrs) 21 sec, Max 29919 steps
[203] Ep10000: 2088 steps (0.0006 hrs) 24 sec, Max 29919 steps
[204] Ep10000: 1952 steps (0.0005 hrs) 12 sec, Max 29919 steps
[205] Ep10000: 1695 steps (0.0005 hrs) 12 sec, Max 29919 steps
[206] Ep10000: 2247 steps (0.0006 hrs) 15 sec, Max 29919 steps
[207] Ep10000: 2841 steps (0.0008 hrs) 23 sec, Max 29919 steps
[208] Ep10000: 1833 steps (0.0005 hrs) 15 sec, Max 29919 steps
[209] Ep10000: 1791 steps (0.0005 hrs) 14 sec, Max 29919 steps
[210] Ep10000: 2107 steps (0.0006 hrs) 12 sec, Max 29919 steps
[211] Ep10000: 1963 steps (0.0005 hrs) 24 sec, Max 29919 steps
[212] Ep10000: 1895 steps (0.0005 hrs) 21 sec, Max 29919 steps
[213] Ep10000: 2204 steps (0.0006 hrs) 20 sec, Max 29919 steps
[214] Ep10000: 2207 steps (0.0006 hrs) 25 sec, Max 29919 steps
[215] Ep10000: 1764 steps (0.0005 hrs) 14 sec, Max 29919 steps
[216] Ep10000: 2536 steps (0.0007 hrs) 23 sec, Max 29919 steps
[217] Ep10000: 1547 steps (0.0004 hrs) 12 sec, Max 29919 steps
[218] Ep10000: 2075 steps (0.0006 hrs) 14 sec, Max 29919 steps
[219] Ep10000: 2330 steps (0.0006 hrs) 23 sec, Max 29919 steps
[220] Ep10000: 3107 steps (0.0009 hrs) 17 sec, Max 29919 steps
[221] Ep10000: 3979 steps (0.0011 hrs) 28 sec, Max 29919 steps
[222] Ep10000: 2744 steps (0.0008 hrs) 22 sec, Max 29919 steps
[223] Ep10000: 3153 steps (0.0009 hrs) 21 sec, Max 29919 steps
[224] Ep10000: 5921 steps (0.0016 hrs) 33 sec, Max 29919 steps
[225] Ep10000: 1873 steps (0.0005 hrs) 17 sec, Max 29919 steps
