balanced 0 test_flag 0
[Run 219] Ep10000: 3429 steps (0.0010 hrs) 11 sec, Max 6599 steps
[Run 220] Ep10000: 3138 steps (0.0009 hrs) 11 sec, Max 6599 steps
[Run 221] Ep10000: 2371 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 222] Ep10000: 6184 steps (0.0017 hrs) 14 sec, Max 6599 steps
[Run 223] Ep10000: 5800 steps (0.0016 hrs) 14 sec, Max 6599 steps
[Run 224] Ep10000: 4671 steps (0.0013 hrs) 13 sec, Max 6599 steps
[Run 225] Ep10000: 2039 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 226] Ep10000: 2259 steps (0.0006 hrs) 11 sec, Max 6599 steps
[Run 227] Ep10000: 2269 steps (0.0006 hrs) 9 sec, Max 6599 steps
[Run 228] Ep10000: 1893 steps (0.0005 hrs) 10 sec, Max 6599 steps
[Run 229] Ep10000: 2804 steps (0.0008 hrs) 11 sec, Max 6599 steps
[Run 230] Ep10000: 3391 steps (0.0009 hrs) 10 sec, Max 6599 steps
[Run 231] Ep10000: 2776 steps (0.0008 hrs) 11 sec, Max 6599 steps
[Run 232] Ep10000: 3092 steps (0.0009 hrs) 10 sec, Max 6599 steps
[Run 233] Ep10000: 2996 steps (0.0008 hrs) 10 sec, Max 6599 steps
[Run 234] Ep10000: 5847 steps (0.0016 hrs) 11 sec, Max 6599 steps
[Run 235] Ep10000: 2275 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 236] Ep10000: 2472 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 237] Ep10000: 3198 steps (0.0009 hrs) 9 sec, Max 6599 steps
[Run 238] Ep10000: 2265 steps (0.0006 hrs) 11 sec, Max 6599 steps
[Run 239] Ep10000: 3443 steps (0.0010 hrs) 10 sec, Max 6599 steps
[Run 240] Ep10000: 2265 steps (0.0006 hrs) 12 sec, Max 6599 steps
[Run 241] Ep10000: 2157 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 242] Ep10000: 2942 steps (0.0008 hrs) 11 sec, Max 6599 steps
[Run 243] Ep10000: 2130 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 244] Ep10000: 1829 steps (0.0005 hrs) 10 sec, Max 6599 steps
[Run 245] Ep10000: 6211 steps (0.0017 hrs) 9 sec, Max 6599 steps
[Run 246] Ep10000: 2436 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 247] Ep10000: 3158 steps (0.0009 hrs) 11 sec, Max 6599 steps
[Run 248] Ep10000: 4966 steps (0.0014 hrs) 11 sec, Max 6599 steps
[Run 249] Ep10000: 2349 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 250] Ep10000: 2301 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 251] Ep10000: 2320 steps (0.0006 hrs) 9 sec, Max 6599 steps
[Run 252] Ep10000: 2218 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 253] Ep10000: 2429 steps (0.0007 hrs) 9 sec, Max 6599 steps
[Run 254] Ep10000: 2607 steps (0.0007 hrs) 10 sec, Max 6599 steps
[Run 255] Ep10000: 2107 steps (0.0006 hrs) 10 sec, Max 6599 steps
[Run 256] Ep10000: 7146 steps (0.0020 hrs) 17 sec, Max 7146 steps
[Run 257] Ep10000: 3328 steps (0.0009 hrs) 10 sec, Max 7146 steps
[Run 258] Ep10000: 2187 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 259] Ep10000: 2413 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 260] Ep10000: 2351 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 261] Ep10000: 2134 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 262] Ep10000: 2416 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 263] Ep10000: 2173 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 264] Ep10000: 2384 steps (0.0007 hrs) 11 sec, Max 7146 steps
[Run 265] Ep10000: 4367 steps (0.0012 hrs) 13 sec, Max 7146 steps
[Run 266] Ep10000: 2136 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 267] Ep10000: 2681 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 268] Ep10000: 3105 steps (0.0009 hrs) 12 sec, Max 7146 steps
[Run 269] Ep10000: 2063 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 270] Ep10000: 2135 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 271] Ep10000: 1996 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 272] Ep10000: 1800 steps (0.0005 hrs) 10 sec, Max 7146 steps
[Run 273] Ep10000: 2088 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 274] Ep10000: 2800 steps (0.0008 hrs) 11 sec, Max 7146 steps
[Run 275] Ep10000: 2282 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 276] Ep10000: 2226 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 277] Ep10000: 2050 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 278] Ep10000: 2165 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 279] Ep10000: 2247 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 280] Ep10000: 2337 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 281] Ep10000: 6343 steps (0.0018 hrs) 20 sec, Max 7146 steps
[Run 282] Ep10000: 2312 steps (0.0006 hrs) 9 sec, Max 7146 steps
[Run 283] Ep10000: 2418 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 284] Ep10000: 3700 steps (0.0010 hrs) 10 sec, Max 7146 steps
[Run 285] Ep10000: 2267 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 286] Ep10000: 1962 steps (0.0005 hrs) 10 sec, Max 7146 steps
[Run 287] Ep10000: 2533 steps (0.0007 hrs) 9 sec, Max 7146 steps
[Run 288] Ep10000: 2562 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 289] Ep10000: 2093 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 290] Ep10000: 2254 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 291] Ep10000: 2103 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 292] Ep10000: 2132 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 293] Ep10000: 2666 steps (0.0007 hrs) 11 sec, Max 7146 steps
[Run 294] Ep10000: 4268 steps (0.0012 hrs) 8 sec, Max 7146 steps
[Run 295] Ep10000: 3611 steps (0.0010 hrs) 11 sec, Max 7146 steps
[Run 296] Ep10000: 6042 steps (0.0017 hrs) 15 sec, Max 7146 steps
[Run 297] Ep10000: 2785 steps (0.0008 hrs) 9 sec, Max 7146 steps
[Run 298] Ep10000: 2429 steps (0.0007 hrs) 11 sec, Max 7146 steps
[Run 299] Ep10000: 2206 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 300] Ep10000: 2056 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 301] Ep10000: 2013 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 302] Ep10000: 3358 steps (0.0009 hrs) 11 sec, Max 7146 steps
[Run 303] Ep10000: 2213 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 304] Ep10000: 2239 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 305] Ep10000: 2490 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 306] Ep10000: 2282 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 307] Ep10000: 1915 steps (0.0005 hrs) 10 sec, Max 7146 steps
[Run 308] Ep10000: 2041 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 309] Ep10000: 1711 steps (0.0005 hrs) 6 sec, Max 7146 steps
[Run 310] Ep10000: 2584 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 311] Ep10000: 3260 steps (0.0009 hrs) 9 sec, Max 7146 steps
[Run 312] Ep10000: 2699 steps (0.0007 hrs) 10 sec, Max 7146 steps
[Run 313] Ep10000: 3810 steps (0.0011 hrs) 11 sec, Max 7146 steps
[Run 314] Ep10000: 2218 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 315] Ep10000: 2591 steps (0.0007 hrs) 11 sec, Max 7146 steps
[Run 316] Ep10000: 2329 steps (0.0006 hrs) 9 sec, Max 7146 steps
[Run 317] Ep10000: 2735 steps (0.0008 hrs) 10 sec, Max 7146 steps
[Run 318] Ep10000: 2498 steps (0.0007 hrs) 11 sec, Max 7146 steps
[Run 319] Ep10000: 6125 steps (0.0017 hrs) 13 sec, Max 7146 steps
[Run 320] Ep10000: 3539 steps (0.0010 hrs) 8 sec, Max 7146 steps
[Run 321] Ep10000: 4750 steps (0.0013 hrs) 9 sec, Max 7146 steps
[Run 322] Ep10000: 2106 steps (0.0006 hrs) 10 sec, Max 7146 steps
[Run 323] Ep10000: 2259 steps (0.0006 hrs) 11 sec, Max 7146 steps
[Run 324] Ep10000: 5676 steps (0.0016 hrs) 9 sec, Max 7146 steps
