balanced 0 test_flag 0
[133] Ep10000: 2552 steps (0.0007 hrs) 17 sec, Max 13149 steps
[134] Ep10000: 2078 steps (0.0006 hrs) 18 sec, Max 13149 steps
[135] Ep10000: 4070 steps (0.0011 hrs) 28 sec, Max 13149 steps
[136] Ep10000: 5083 steps (0.0014 hrs) 25 sec, Max 13149 steps
[137] Ep10000: 4870 steps (0.0014 hrs) 29 sec, Max 13149 steps
[138] Ep10000: 2696 steps (0.0007 hrs) 26 sec, Max 13149 steps
[139] Ep10000: 1807 steps (0.0005 hrs) 16 sec, Max 13149 steps
[140] Ep10000: 2053 steps (0.0006 hrs) 16 sec, Max 13149 steps
[141] Ep10000: 2146 steps (0.0006 hrs) 17 sec, Max 13149 steps
[142] Ep10000: 1828 steps (0.0005 hrs) 18 sec, Max 13149 steps
[143] Ep10000: 3128 steps (0.0009 hrs) 18 sec, Max 13149 steps
[144] Ep10000: 1649 steps (0.0005 hrs) 16 sec, Max 13149 steps
[145] Ep10000: 1858 steps (0.0005 hrs) 17 sec, Max 13149 steps
[146] Ep10000: 1448 steps (0.0004 hrs) 17 sec, Max 13149 steps
[147] Ep10000: 1753 steps (0.0005 hrs) 16 sec, Max 13149 steps
[148] Ep10000: 2008 steps (0.0006 hrs) 25 sec, Max 13149 steps
[149] Ep10000: 2059 steps (0.0006 hrs) 18 sec, Max 13149 steps
[150] Ep10000: 1833 steps (0.0005 hrs) 16 sec, Max 13149 steps
[151] Ep10000: 1514 steps (0.0004 hrs) 17 sec, Max 13149 steps
[152] Ep10000: 2316 steps (0.0006 hrs) 16 sec, Max 13149 steps
[153] Ep10000: 1525 steps (0.0004 hrs) 18 sec, Max 13149 steps
[154] Ep10000: 2877 steps (0.0008 hrs) 19 sec, Max 13149 steps
[155] Ep10000: 1948 steps (0.0005 hrs) 17 sec, Max 13149 steps
[156] Ep10000: 2058 steps (0.0006 hrs) 25 sec, Max 13149 steps
[157] Ep10000: 2530 steps (0.0007 hrs) 17 sec, Max 13149 steps
[158] Ep10000: 1812 steps (0.0005 hrs) 18 sec, Max 13149 steps
[159] Ep10000: 4823 steps (0.0013 hrs) 27 sec, Max 13149 steps
[160] Ep10000: 3963 steps (0.0011 hrs) 26 sec, Max 13149 steps
[161] Ep10000: 8415 steps (0.0023 hrs) 28 sec, Max 13149 steps
[162] Ep10000: 2254 steps (0.0006 hrs) 24 sec, Max 13149 steps
[163] Ep10000: 2214 steps (0.0006 hrs) 26 sec, Max 13149 steps
[164] Ep10000: 1912 steps (0.0005 hrs) 16 sec, Max 13149 steps
[165] Ep10000: 2757 steps (0.0008 hrs) 26 sec, Max 13149 steps
[166] Ep10000: 1794 steps (0.0005 hrs) 17 sec, Max 13149 steps
[167] Ep10000: 2153 steps (0.0006 hrs) 17 sec, Max 13149 steps
[168] Ep10000: 1901 steps (0.0005 hrs) 16 sec, Max 13149 steps
[169] Ep10000: 2523 steps (0.0007 hrs) 17 sec, Max 13149 steps
[170] Ep10000: 2284 steps (0.0006 hrs) 17 sec, Max 13149 steps
[171] Ep10000: 4168 steps (0.0012 hrs) 23 sec, Max 13149 steps
[172] Ep10000: 1936 steps (0.0005 hrs) 18 sec, Max 13149 steps
[173] Ep10000: 1617 steps (0.0004 hrs) 17 sec, Max 13149 steps
[174] Ep10000: 1748 steps (0.0005 hrs) 16 sec, Max 13149 steps
[175] Ep10000: 1683 steps (0.0005 hrs) 18 sec, Max 13149 steps
[176] Ep10000: 2288 steps (0.0006 hrs) 16 sec, Max 13149 steps
[177] Ep10000: 6254 steps (0.0017 hrs) 29 sec, Max 13149 steps
[178] Ep10000: 1892 steps (0.0005 hrs) 16 sec, Max 13149 steps
[179] Ep10000: 9730 steps (0.0027 hrs) 37 sec, Max 13149 steps
[180] Ep10000: 4738 steps (0.0013 hrs) 30 sec, Max 13149 steps
[181] Ep10000: 4985 steps (0.0014 hrs) 30 sec, Max 13149 steps
[182] Ep10000: 1631 steps (0.0005 hrs) 16 sec, Max 13149 steps
[183] Ep10000: 1518 steps (0.0004 hrs) 18 sec, Max 13149 steps
[184] Ep10000: 6157 steps (0.0017 hrs) 30 sec, Max 13149 steps
[185] Ep10000: 2026 steps (0.0006 hrs) 16 sec, Max 13149 steps
[186] Ep10000: 1929 steps (0.0005 hrs) 25 sec, Max 13149 steps
[187] Ep10000: 2927 steps (0.0008 hrs) 22 sec, Max 13149 steps
[188] Ep10000: 2248 steps (0.0006 hrs) 19 sec, Max 13149 steps
[189] Ep10000: 1827 steps (0.0005 hrs) 16 sec, Max 13149 steps
[190] Ep10000: 2067 steps (0.0006 hrs) 16 sec, Max 13149 steps
[191] Ep10000: 1617 steps (0.0004 hrs) 17 sec, Max 13149 steps
[192] Ep10000: 2012 steps (0.0006 hrs) 16 sec, Max 13149 steps
[193] Ep10000: 1771 steps (0.0005 hrs) 17 sec, Max 13149 steps
[194] Ep10000: 1505 steps (0.0004 hrs) 17 sec, Max 13149 steps
[195] Ep10000: 1801 steps (0.0005 hrs) 17 sec, Max 13149 steps
[196] Ep10000: 1682 steps (0.0005 hrs) 17 sec, Max 13149 steps
[197] Ep10000: 4947 steps (0.0014 hrs) 23 sec, Max 13149 steps
[198] Ep10000: 2117 steps (0.0006 hrs) 26 sec, Max 13149 steps
[199] Ep10000: 2179 steps (0.0006 hrs) 18 sec, Max 13149 steps
[200] Ep10000: 5463 steps (0.0015 hrs) 29 sec, Max 13149 steps
[201] Ep10000: 1740 steps (0.0005 hrs) 17 sec, Max 13149 steps
[202] Ep10000: 1806 steps (0.0005 hrs) 18 sec, Max 13149 steps
[203] Ep10000: 5104 steps (0.0014 hrs) 31 sec, Max 13149 steps
[204] Ep10000: 1845 steps (0.0005 hrs) 25 sec, Max 13149 steps
