balanced 0 test_flag 0
[253] Ep10000: 1383 steps (0.0004 hrs) 11 sec, Max 8447 steps
[254] Ep10000: 1772 steps (0.0005 hrs) 22 sec, Max 8447 steps
[255] Ep10000: 2129 steps (0.0006 hrs) 25 sec, Max 8447 steps
[256] Ep10000: 2576 steps (0.0007 hrs) 25 sec, Max 8447 steps
[257] Ep10000: 1205 steps (0.0003 hrs) 12 sec, Max 8447 steps
[258] Ep10000: 1449 steps (0.0004 hrs) 13 sec, Max 8447 steps
[259] Ep10000: 5856 steps (0.0016 hrs) 26 sec, Max 8447 steps
[260] Ep10000: 1299 steps (0.0004 hrs) 12 sec, Max 8447 steps
[261] Ep10000: 1964 steps (0.0005 hrs) 25 sec, Max 8447 steps
[262] Ep10000: 1850 steps (0.0005 hrs) 24 sec, Max 8447 steps
[263] Ep10000: 3026 steps (0.0008 hrs) 21 sec, Max 8447 steps
[264] Ep10000: 1645 steps (0.0005 hrs) 14 sec, Max 8447 steps
[265] Ep10000: 1972 steps (0.0005 hrs) 28 sec, Max 8447 steps
[266] Ep10000: 1808 steps (0.0005 hrs) 22 sec, Max 8447 steps
[267] Ep10000: 2064 steps (0.0006 hrs) 14 sec, Max 8447 steps
[268] Ep10000: 1998 steps (0.0006 hrs) 13 sec, Max 8447 steps
[269] Ep10000: 1827 steps (0.0005 hrs) 26 sec, Max 8447 steps
[270] Ep10000: 1461 steps (0.0004 hrs) 14 sec, Max 8447 steps
[271] Ep10000: 1719 steps (0.0005 hrs) 22 sec, Max 8447 steps
[272] Ep10000: 1925 steps (0.0005 hrs) 16 sec, Max 8447 steps
[273] Ep10000: 2151 steps (0.0006 hrs) 28 sec, Max 8447 steps
[274] Ep10000: 2499 steps (0.0007 hrs) 19 sec, Max 8447 steps
[275] Ep10000: 2184 steps (0.0006 hrs) 26 sec, Max 8447 steps
[276] Ep10000: 2397 steps (0.0007 hrs) 28 sec, Max 8447 steps
[277] Ep10000: 1679 steps (0.0005 hrs) 15 sec, Max 8447 steps
[278] Ep10000: 2348 steps (0.0007 hrs) 27 sec, Max 8447 steps
[279] Ep10000: 2295 steps (0.0006 hrs) 28 sec, Max 8447 steps
[280] Ep10000: 2615 steps (0.0007 hrs) 28 sec, Max 8447 steps
[281] Ep10000: 2836 steps (0.0008 hrs) 24 sec, Max 8447 steps
[282] Ep10000: 2498 steps (0.0007 hrs) 29 sec, Max 8447 steps
[283] Ep10000: 1914 steps (0.0005 hrs) 43 sec, Max 8447 steps
[284] Ep10000: 2285 steps (0.0006 hrs) 36 sec, Max 8447 steps
[285] Ep10000: 2101 steps (0.0006 hrs) 25 sec, Max 8447 steps
[286] Ep10000: 2024 steps (0.0006 hrs) 29 sec, Max 8447 steps
[287] Ep10000: 2083 steps (0.0006 hrs) 28 sec, Max 8447 steps
[288] Ep10000: 2444 steps (0.0007 hrs) 27 sec, Max 8447 steps
[289] Ep10000: 2500 steps (0.0007 hrs) 27 sec, Max 8447 steps
[290] Ep10000: 1701 steps (0.0005 hrs) 18 sec, Max 8447 steps
[291] Ep10000: 1952 steps (0.0005 hrs) 13 sec, Max 8447 steps
[292] Ep10000: 2471 steps (0.0007 hrs) 26 sec, Max 8447 steps
[293] Ep10000: 2413 steps (0.0007 hrs) 27 sec, Max 8447 steps
[294] Ep10000: 2666 steps (0.0007 hrs) 27 sec, Max 8447 steps
[295] Ep10000: 2120 steps (0.0006 hrs) 16 sec, Max 8447 steps
[296] Ep10000: 2802 steps (0.0008 hrs) 35 sec, Max 8447 steps
[297] Ep10000: 2091 steps (0.0006 hrs) 46 sec, Max 8447 steps
[298] Ep10000: 9159 steps (0.0025 hrs) 26 sec, Max 9159 steps
[299] Ep10000: 2605 steps (0.0007 hrs) 25 sec, Max 9159 steps
[300] Ep10000: 2585 steps (0.0007 hrs) 22 sec, Max 9159 steps
[301] Ep10000: 1901 steps (0.0005 hrs) 21 sec, Max 9159 steps
[302] Ep10000: 2090 steps (0.0006 hrs) 25 sec, Max 9159 steps
[303] Ep10000: 1892 steps (0.0005 hrs) 26 sec, Max 9159 steps
[304] Ep10000: 2281 steps (0.0006 hrs) 22 sec, Max 9159 steps
[305] Ep10000: 2277 steps (0.0006 hrs) 17 sec, Max 9159 steps
[306] Ep10000: 1807 steps (0.0005 hrs) 14 sec, Max 9159 steps
[307] Ep10000: 2063 steps (0.0006 hrs) 23 sec, Max 9159 steps
[308] Ep10000: 2740 steps (0.0008 hrs) 25 sec, Max 9159 steps
[309] Ep10000: 2715 steps (0.0008 hrs) 26 sec, Max 9159 steps
[310] Ep10000: 3018 steps (0.0008 hrs) 18 sec, Max 9159 steps
[311] Ep10000: 1678 steps (0.0005 hrs) 18 sec, Max 9159 steps
[312] Ep10000: 1924 steps (0.0005 hrs) 21 sec, Max 9159 steps
[313] Ep10000: 2340 steps (0.0007 hrs) 14 sec, Max 9159 steps
[314] Ep10000: 2840 steps (0.0008 hrs) 25 sec, Max 9159 steps
