balanced 0 test_flag 0
[Run 178] Ep10000: 1991 steps (0.0006 hrs) 24 sec, Max 28836 steps
[Run 179] Ep10000: 1804 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 180] Ep10000: 1656 steps (0.0005 hrs) 14 sec, Max 28836 steps
[Run 181] Ep10000: 1937 steps (0.0005 hrs) 17 sec, Max 28836 steps
[Run 182] Ep10000: 10193 steps (0.0028 hrs) 24 sec, Max 28836 steps
[Run 183] Ep10000: 2325 steps (0.0006 hrs) 26 sec, Max 28836 steps
[Run 184] Ep10000: 6248 steps (0.0017 hrs) 23 sec, Max 28836 steps
[Run 185] Ep10000: 1717 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 186] Ep10000: 5394 steps (0.0015 hrs) 24 sec, Max 28836 steps
[Run 187] Ep10000: 1865 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 188] Ep10000: 1782 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 189] Ep10000: 4252 steps (0.0012 hrs) 25 sec, Max 28836 steps
[Run 190] Ep10000: 2170 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 191] Ep10000: 1666 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 192] Ep10000: 1913 steps (0.0005 hrs) 18 sec, Max 28836 steps
[Run 193] Ep10000: 3051 steps (0.0008 hrs) 26 sec, Max 28836 steps
[Run 194] Ep10000: 1773 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 195] Ep10000: 1934 steps (0.0005 hrs) 25 sec, Max 28836 steps
[Run 196] Ep10000: 2170 steps (0.0006 hrs) 15 sec, Max 28836 steps
[Run 197] Ep10000: 1877 steps (0.0005 hrs) 27 sec, Max 28836 steps
[Run 198] Ep10000: 1600 steps (0.0004 hrs) 14 sec, Max 28836 steps
[Run 199] Ep10000: 1912 steps (0.0005 hrs) 20 sec, Max 28836 steps
[Run 200] Ep10000: 1832 steps (0.0005 hrs) 24 sec, Max 28836 steps
[Run 201] Ep10000: 1861 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 202] Ep10000: 1858 steps (0.0005 hrs) 17 sec, Max 28836 steps
